Date,Day,Journal,Total Spend,Description,GYM,Note
1 Mar,Sunday,Lazy morning at home. Watched a movie in the evening.,210,40milk+30bread+60vegetables+80orderFood,N,
2 Mar,Monday,"Early morning run, office day, team meeting in afternoon.",890,15bus+120lunch+15bus+60snacks+680sipMutualFund,Y,
3 Mar,Tuesday,Office day. Stayed late for project deadline.,445,15bus+130lunch+15bus+90dinner+195groceries,Y,
4 Mar,Wednesday,"Office day, caught up with an old friend after work.",1200,15bus+120lunch+15bus+250dinner+800stockPurchase,Y,First stock buy this month
5 Mar,Thursday,Worked from home. Ordered food twice.,380,90orderFood+45chai+120orderFood+125snacks,N,
6 Mar,Friday,"Office day, went to a colleague birthday dinner.",760,15bus+110lunch+15bus+350birthdayDinner+270uber,Y,
7 Mar,Saturday,Gym and grocery run in the morning. Rest of the day at home.,540,320groceries+90gymSupplements+80fruits+50autoRickshaw,Y,
8 Mar,Sunday,Visited parents. Had lunch there.,195,80uber+35petrolBike+80uber,N,Zero spending at parents place
9 Mar,Monday,"Office day, enrolled in an online course.",2150,15bus+95lunch+15bus+1999onlineCourse+26eggs,Y,
10 Mar,Tuesday,Normal office day. Evening walk.,330,15bus+110lunch+15bus+90dinner+100vegetables,Y,
11 Mar,Wednesday,"Office day, paid electricity bill.",1840,15bus+110lunch+15bus+1650electricityBill+50chai,Y,
12 Mar,Thursday,Work from home. Quiet day.,220,90orderFood+60fruits+70groceries,N,
13 Mar,Friday,"Office day, team lunch outing.",650,15bus+450teamLunch+15bus+90snacks+80autoRickshaw,Y,Team lunch was office sponsored but I paid my share
14 Mar,Saturday,"Gym, then helped friend move houses.",310,80gymProtein+120lunch+110autoRickshaw,Y,
15 Mar,Sunday,Rest day. Cooked at home.,95,55vegetables+40eggs,N,Cooked dal and rice
16 Mar,Monday,"Office day, haircut after work.",520,15bus+110lunch+15bus+300haircut+80dinner,Y,
17 Mar,Tuesday,Office day. Paid monthly rent.,9500,15bus+110lunch+15bus+9200rent+160groceries,Y,
18 Mar,Wednesday,Work from home. Short day.,180,90orderFood+90orderFood,N,
19 Mar,Thursday,"Office day, bought new headphones.",2350,15bus+110lunch+15bus+2100headphones+110snacks,Y,
20 Mar,Friday,Last office day of the week. Evening movie.,680,15bus+110lunch+15bus+350movieTickets+190popcornDrinks,Y,
21 Mar,Saturday,Full rest day. No spending.,0,,N,Zero spend day
22 Mar,Sunday,Morning temple visit. Lunch outside.,490,80auto+150templeDonation+200lunch+60auto,N,
23 Mar,Monday,"Office day, doctor visit in evening.",1100,15bus+110lunch+15bus+700doctorFee+260medicines,Y,
24 Mar,Tuesday,Office day. Paid credit card bill.,4200,15bus+110lunch+15bus+4000creditCardBill+60chai,Y,
25 Mar,Wednesday,"Office day, evening badminton.",340,15bus+110lunch+15bus+120badmintonCourt+80dinner,Y,
26 Mar,Thursday,Work from home. Invested in SIP.,3100,90orderFood+3000sipInvestment+10chai,N,Monthly SIP done
27 Mar,Friday,"Office day, weekend plan prep.",560,15bus+110lunch+15bus+290groceries+130snacks,Y,
28 Mar,Saturday,"Gym, then long walk at the park.",180,80gymProtein+60fruits+40water,Y,
29 Mar,Sunday,Cooked full meals. Zero outside spend.,0,,N,Zero spend day - proud of this
30 Mar,Monday,"Office day, farewell lunch for colleague.",890,15bus+650farewellLunch+15bus+210groceries,Y,
31 Mar,Tuesday,Last day of month. Evening reflection walk.,260,15bus+110lunch+15bus+120dinner,Y,March done
,,Total,Rs 39543,Total Count,22,
,,,,,,
,,Average Cost Per Day,1275.58,,,
