Date,Day,Journal,Total Spend,Description,GYM,Note
1 Dec,Monday,Office day. December starts with a long sprint meeting.,450,15bus+110lunch+15bus+200groceries+110snacks,Y,
2 Dec,Tuesday,Office day. Bought winter jacket on sale.,2800,15bus+110lunch+15bus+2500winterJacket+160snacks,Y,End of season sale
3 Dec,Wednesday,Work from home. Quiet day.,190,90orderFood+60fruits+40chai,N,
4 Dec,Thursday,Office day. Evening badminton with friends.,360,15bus+110lunch+15bus+130badmintonCourt+90dinner,Y,
5 Dec,Friday,Office day. Team end-of-year party contribution.,520,15bus+110lunch+15bus+300partyContribution+80snacks,Y,Contributed for office party
6 Dec,Saturday,Gym then visited cousins for the evening.,380,80gymProtein+120lunch+180dinner,Y,Good family time
7 Dec,Sunday,Rest day. Cooked khichdi at home.,80,50vegetables+30eggs,N,Zero outside spend almost
8 Dec,Monday,Office day. Paid phone recharge.,590,15bus+110lunch+15bus+399phoneRecharge+50chai,Y,
9 Dec,Tuesday,Office day. Evening walk by the lake.,330,15bus+110lunch+15bus+90dinner+100groceries,Y,
10 Dec,Wednesday,Work from home. Enrolled in AWS course.,2100,90orderFood+1999awsCourse+11chai,N,Prep for next year
11 Dec,Thursday,Office day. Colleagues farewell lunch.,750,15bus+120lunch+15bus+450farewellLunch+150autoRickshaw,Y,
12 Dec,Friday,Office day. Bought Christmas gifts for family.,1800,15bus+110lunch+15bus+1500christmasGifts+160snacks,Y,Shopping done early
13 Dec,Saturday,Rest day. Movie and dinner with friends.,990,250movieTicket+200popcornDrinks+350dinner+190uber,N,
14 Dec,Sunday,Morning walk. Temple visit. Quiet lunch at home.,120,80auto+40fruits,N,
15 Dec,Monday,Office day. Free trial activated for LinkedIn Premium.,0,,Y,Free trial activated
16 Dec,Tuesday,Office day. Evening snacks with team.,380,15bus+110lunch+15bus+150snacks+90autoRickshaw,Y,
17 Dec,Wednesday,Office day. Paid monthly rent.,9500,15bus+110lunch+15bus+9200rent+160groceries,Y,
18 Dec,Thursday,Work from home. Long debugging session.,170,90orderFood+80chai,N,
19 Dec,Friday,Office day. Year-end review submitted.,430,15bus+110lunch+15bus+200dinner+90snacks,Y,Submitted review early
20 Dec,Saturday,Gym. Evening market shopping for family.,620,80gymProtein+350marketShopping+190autoRickshaw,Y,
21 Dec,Sunday,Full rest day. No spending.,0,,N,Zero spend day
22 Dec,Monday,Office day. Pre-Christmas arrangements.,290,15bus+110lunch+15bus+60chai+90snacks,Y,
23 Dec,Tuesday,Office day. Last proper work day before holidays.,350,15bus+110lunch+15bus+120dinner+90snacks,Y,
24 Dec,Wednesday,Christmas Eve. Family dinner at home.,450,300groceries+150sweetBox,N,Made biryani at home
25 Dec,Thursday,Christmas. Full day with family. Zero spend.,0,,N,Zero spend day - family time
26 Dec,Friday,Work from home. Invested monthly SIP.,3100,90orderFood+3000sipInvestment+10chai,N,Monthly SIP done
27 Dec,Saturday,Gym. New Year party planning with friends.,560,80gymProtein+280partyPlanning+200groceries,Y,
28 Dec,Sunday,Lazy day. Ordered food and watched shows.,310,160orderFood+150orderFood,N,
29 Dec,Monday,Office day. Year-end wrap up.,330,15bus+110lunch+15bus+100snacks+90autoRickshaw,Y,
30 Dec,Tuesday,Office day. Early logout. Evening outing.,760,15bus+110lunch+15bus+350dinner+270uber,Y,
31 Dec,Wednesday,New Year Eve. Party with friends.,2200,200uber+600partyEntry+800drinks+600dinner,N,New year 2026!

,,Total,Rs 30910,Total Count,19,

,,Average Cost Per Day,997.1,,,
